Country,Population,Consumption,Production,Percentage_fossil,Percentage_nuclear,Percentage_hydroelectric,Percentage_renewable
China,1384688986,5564000000000.0,5883000000000.0,62.0,2.0,18.0,18.0
India,1296834042,1137000000000.0,1386000000000.0,71.0,2.0,12.0,16.0
United States,329256465,3902000000000.0,4095000000000.0,70.0,9.0,7.0,14.0
Indonesia,262787403,213400000000.0,235400000000.0,85.0,0.0,9.0,6.0
Brazil,208846892,509100000000.0,567900000000.0,17.0,1.0,64.0,18.0
Pakistan,207862518,92330000000.0,109700000000.0,62.0,5.0,27.0,7.0
Nigeria,203452505,24720000000.0,29350000000.0,80.0,0.0,19.0,0.0
Bangladesh,159453001,53650000000.0,60510000000.0,97.0,0.0,2.0,2.0
Russia,142122776,909600000000.0,1031000000000.0,68.0,11.0,21.0,1.0
Japan,126168156,943700000000.0,989300000000.0,71.0,1.0,8.0,20.0
Mexico,125959205,258700000000.0,302700000000.0,71.0,2.0,17.0,9.0
Ethiopia,108386391,9062000000.0,11150000000.0,3.0,0.0,86.0,11.0
Philippines,105893381,78300000000.0,86590000000.0,67.0,0.0,17.0,16.0
Egypt,99413317,159700000000.0,183500000000.0,91.0,0.0,6.0,2.0
Vietnam,97040334,143200000000.0,158200000000.0,56.0,0.0,43.0,1.0
Democratic Republic of the Congo,85281024,7430000000.0,9046000000.0,2.0,0.0,98.0,0.0
Iran,83024745,236300000000.0,272300000000.0,84.0,1.0,15.0,0.0
Turkey,81257239,231100000000.0,261900000000.0,53.0,0.0,33.0,14.0
Germany,80457737,536500000000.0,612800000000.0,41.0,5.0,2.0,52.0
Thailand,68615858,187700000000.0,181500000000.0,76.0,0.0,8.0,16.0
France,67364357,450800000000.0,529100000000.0,17.0,50.0,15.0,19.0
United Kingdom,65105246,309200000000.0,318200000000.0,50.0,9.0,2.0,39.0
Italy,62246674,293500000000.0,275300000000.0,54.0,0.0,14.0,32.0
Burma,55622506,14930000000.0,17320000000.0,39.0,0.0,61.0,1.0
Tanzania,55451343,5682000000.0,6699000000.0,55.0,0.0,40.0,6.0
South Africa,55380210,207100000000.0,234500000000.0,85.0,4.0,1.0,10.0
South Korea,51418097,507600000000.0,526000000000.0,70.0,21.0,2.0,8.0
Spain,49331076,239500000000.0,258600000000.0,47.0,7.0,14.0,32.0
Kenya,48397527,7863000000.0,9634000000.0,33.0,0.0,34.0,33.0
Colombia,48168996,68250000000.0,74920000000.0,29.0,0.0,69.0,2.0
